Date,Rate,"ISO Code From","ISO Code To"
"6/19/2023 Monday","15,013.94600",USD,IDR
"6/20/2023 Tuesday","15,014.70000",USD,IDR
"6/21/2023 Wednesday","14,945.45000",USD,IDR
"6/22/2023 Thursday","14,938.91742",USD,IDR
"6/23/2023 Friday","15,045.30000",USD,IDR
"6/26/2023 Monday","15,044.55000",USD,IDR
"6/27/2023 Tuesday","14,988.00000",USD,IDR
"6/28/2023 Wednesday","14,984.70000",USD,IDR
"6/29/2023 Thursday","15,059.15000",USD,IDR
"6/30/2023 Friday","15,040.30000",USD,IDR
"7/3/2023 Monday","15,062.75625",USD,IDR
"7/4/2023 Tuesday","15,020.00000",USD,IDR
"7/5/2023 Wednesday","15,078.42547",USD,IDR
"7/6/2023 Thursday","15,177.95919",USD,IDR
"7/7/2023 Friday","15,161.70000",USD,IDR
"7/10/2023 Monday","15,187.00000",USD,IDR
"7/11/2023 Tuesday","15,139.95000",USD,IDR
"7/12/2023 Wednesday","14,934.52697",USD,IDR
"7/13/2023 Thursday","14,953.85000",USD,IDR
"7/14/2023 Friday","15,003.00000",USD,IDR
"7/17/2023 Monday","14,972.15213",USD,IDR
"7/18/2023 Tuesday","14,989.06850",USD,IDR
"7/19/2023 Wednesday","15,008.62879",USD,IDR
"7/20/2023 Thursday","15,056.00000",USD,IDR
"7/21/2023 Friday","15,043.35000",USD,IDR
"7/24/2023 Monday","15,021.72309",USD,IDR
"7/25/2023 Tuesday","15,026.62318",USD,IDR
"7/26/2023 Wednesday","15,009.05000",USD,IDR
"7/27/2023 Thursday","15,101.59050",USD,IDR
"7/28/2023 Friday","15,107.09441",USD,IDR
"7/31/2023 Monday","15,098.95044",USD,IDR
"8/1/2023 Tuesday","15,120.57497",USD,IDR
"8/2/2023 Wednesday","15,227.32830",USD,IDR
"8/3/2023 Thursday","15,148.10000",USD,IDR
"8/4/2023 Friday","15,152.90000",USD,IDR
"8/7/2023 Monday","15,225.22542",USD,IDR
