period,kurs_usd
2023-06-19,15014.0
2023-06-20,15015.0
2023-06-21,14945.0
2023-06-22,14939.0
2023-06-23,15045.0
2023-06-26,15045.0
2023-06-27,14988.0
2023-06-28,14985.0
2023-06-29,15059.0
2023-06-30,15040.0
2023-07-03,15063.0
2023-07-04,15020.0
2023-07-05,15078.0
2023-07-06,15178.0
2023-07-07,15162.0
2023-07-10,15187.0
2023-07-11,15140.0
2023-07-12,14935.0
2023-07-13,14954.0
2023-07-14,15003.0
2023-07-17,14972.0
2023-07-18,14989.0
2023-07-19,15009.0
2023-07-20,15056.0
2023-07-21,15043.0
2023-07-24,15022.0
2023-07-25,15027.0
2023-07-26,15009.0
2023-07-27,15102.0
2023-07-28,15107.0
2023-07-31,15099.0
2023-08-01,15121.0
2023-08-02,15227.0
2023-08-03,15148.0
2023-08-04,15153.0
2023-08-07,15225.0
2023-08-08,15212.0
2023-08-09,15214.0
2023-08-10,15263.0
2023-08-11,15324.0
2023-08-14,15330.0
2023-08-15,15318.0
2023-08-16,15369.0
2023-08-17,15343.0
2023-08-18,15321.0
2023-08-21,15325.0
2023-08-22,15324.0
2023-08-23,15301.0
2023-08-24,15246.0
2023-08-25,15298.0
2023-08-28,15248.0
2023-08-29,15202.0
2023-08-30,15223.0
2023-08-31,15225.0
2023-09-01,15258.0
2023-09-04,15230.0
2023-09-05,15320.0
2023-09-06,15340.0
2023-09-07,15361.0
2023-09-08,15382.0
2023-09-11,15348.0
2023-09-12,15358.0
2023-09-13,15361.0
2023-09-14,15402.0
2023-09-15,15367.0
2023-09-18,15373.0
2023-09-19,15382.0
2023-09-20,15368.0
2023-09-21,15408.0
2023-09-22,15357.0
2023-09-25,15412.0
2023-09-26,15493.0
2023-09-27,15573.0
2023-09-28,15473.0
2023-09-29,15493.0
2023-10-02,15538.0
2023-10-03,15620.0
2023-10-04,15596.0
2023-10-05,15636.0
2023-10-06,15648.0
2023-10-09,15705.0
2023-10-10,15716.0
2023-10-11,15700.0
2023-10-12,15750.0
2023-10-13,15703.0
2023-10-16,15676.0
2023-10-17,15730.0
2023-10-18,15824.0
2023-10-19,15864.0
2023-10-20,15879.0
2023-10-23,15897.0
2023-10-24,15869.0
2023-10-25,15881.0
2023-10-26,15927.0
2023-10-27,15911.0
2023-10-30,15854.0
2023-10-31,15919.0
2023-11-01,15899.0
2023-11-02,15852.0
2023-11-03,15589.0
2023-11-06,15577.0
2023-11-07,15651.0
2023-11-08,15625.0
2023-11-09,15715.0
2023-11-10,15694.0
2023-11-13,15683.0
2023-11-14,15459.0
2023-11-15,15519.0
2023-11-16,15484.0
2023-11-17,15424.0
2023-11-20,15389.0
2023-11-21,15517.0
2023-11-22,15656.0
2023-11-23,15633.0
2023-11-24,15540.0
2023-11-27,15505.0
2023-11-28,15352.0
2023-11-29,15459.0
2023-11-30,15559.0
2023-12-01,15413.0
2023-12-04,15485.0
2023-12-05,15463.0
2023-12-06,15514.0
2023-12-07,15507.0
2023-12-08,15573.0
2023-12-11,15653.0
2023-12-12,15576.0
2023-12-13,15360.0
2023-12-14,15476.0
